trainerID,rate,specialty,TrainerName
1,333.11,primis,Waite McCaughren
2,429.58,est,Callean De Mico
3,455.33,dui,Corey Kittow
4,356.79,lacinia,Killy Doidge
5,463.26,vivamus,Brent Jewkes
6,132.1,sed,Leta Cisneros
7,426.03,integer,Samuel McFetridge
8,129.6,integer,Tymothy Absolom
9,307.12,sit,Gilburt Duchatel
10,97.89,accumsan,Merill Acaster
11,85.83,auctor,Roxine Beldum
12,384.79,amet,Domeniga Maplesden
13,112.65,interdum,Julita Mowsdell
14,369.79,convallis,Mannie Rockcliff
15,200.46,morbi,Cecelia Matas
16,208.03,ullamcorper,Kip Domanek
17,168.51,consectetuer,Sydney De Nisco
18,213.0,rutrum,Barrie Ritchie
19,139.76,quis,Hamilton Walsh
20,286.63,nam,Dilan Kervin
21,402.3,quis,Aluino Wannop
22,369.13,lacus,Elvera Kacheler
23,446.33,augue,Arabel Mawd
24,244.85,arcu,Annette Olkowicz
25,165.08,in,Granger Posner
26,432.32,lectus,Jerald Aires
27,359.09,sem,Levon Phelips
28,399.26,id,Felipa Frohock
29,358.56,odio,Shell Barthot
30,413.68,sit,Zack Eliyahu
31,50.46,magna,Shea Jirusek
32,98.75,vel,Ealasaid O'Donovan
33,146.95,magna,Reade Duddle
34,303.15,fringilla,Gabrila Freebury
35,409.09,et,Gerrard Oleksinski
36,50.89,et,Marc Haswell
37,121.2,mauris,Lisha Caustick
38,173.95,in,Hannie Beacham
39,92.76,in,Cissy Oxburgh
40,249.11,scelerisque,Malva Colley
41,176.49,augue,Phillip Barstowk
42,164.89,duis,Andras Corby
43,200.99,pulvinar,Celestyn Chason
44,173.51,praesent,Sigismund Grimsdith
45,279.02,vel,Claudio Duigenan
46,302.74,quis,Yul Betterton
47,246.94,turpis,Lynsey MacLaverty
48,192.57,id,Malvina Suffield
49,228.62,neque,Aleta Nell
50,245.67,nulla,Sela Worrell
51,326.77,maecenas,Elroy Serrels
52,324.07,praesent,Lethia Syson
53,493.1,accumsan,Monti Berrey
54,401.73,ut,Claudine Neary
55,385.69,suspendisse,Marcellina Penright
56,464.1,eu,Marley Leaves
57,387.58,id,Berkie Hance
58,451.88,in,Sayre Jewar
59,90.89,at,Viviene Dowsey
60,91.43,mattis,Goldia Wollrauch
61,483.26,sociis,Astra Malacrida
62,494.94,scelerisque,Lucas Vidgeon
63,70.96,eu,Rolland MacTrustie
64,277.29,eu,Montgomery Grayston
65,464.76,sollicitudin,Jessamine Cullotey
66,316.63,maecenas,Ulick Thaxter
67,235.35,eget,Avram Fair
68,292.76,sit,Trip Saunter
69,215.33,eget,Clyve Maffetti
70,209.96,leo,Mendy Olennikov
71,430.45,ut,Cara Bartrum
72,188.47,dapibus,Michale Jellyman
73,318.13,massa,Melisandra Lampel
74,82.91,semper,Tori Donoher
75,135.5,quisque,Rhiamon Claige
76,377.39,tellus,Jacynth Dounbare
77,275.33,justo,Glenna Dummett
78,315.44,lectus,Blinni Errington
79,86.59,in,Maighdiln Cain
80,441.18,rhoncus,Keven Bevans
81,406.42,vel,Lurlene Coushe
82,170.6,aliquam,Ursulina Lochet
83,102.6,integer,Heidie Chong
84,301.96,eleifend,Nowell Lampens
85,239.18,in,Dyane Colegrove
86,162.99,id,Zacharias Belcher
87,278.11,dictumst,Filip Addams
88,178.81,adipiscing,Edna Lenahan
89,328.28,at,Randy Semken
90,76.63,consectetuer,Knox Tolson
91,188.48,justo,Adi Di Maggio
92,249.45,penatibus,Krissy Stanbrooke
93,365.82,sed,Ediva Toombs
94,358.6,id,Laurette De Vries
95,56.38,cubilia,Gonzales Milvarnie
96,477.15,turpis,Gearard Wainwright
97,351.29,nam,Carlee Lefeuvre
98,266.04,ut,Merissa Hirschmann
99,271.3,magnis,Edward Olenov
100,441.07,ac,Hillary Thomtson
101,484.7,elit,Larissa Rustman
102,450.02,metus,Bentley Capstack
103,142.76,sit,Jackelyn Fever
104,66.37,malesuada,Elwira Teese
105,125.18,ultrices,Sallie O' Hogan
106,441.88,venenatis,Leif Edwardson
107,356.51,congue,Maurice Reddan
