trainerID,rate,startdate,specialty,TrainerName
1,379.92,2022-05-12 13:30:41,arcu,Lolly Maffin
2,247.59,2022-09-25 14:47:47,dapibus,Augustus Domonkos
3,212.06,2023-02-14 04:07:40,amet,Lilias Verrall
4,122.02,2022-06-27 04:11:28,turpis,Filippo Leroy
5,231.11,2022-06-02 12:12:59,maecenas,Celinda Lockwood
6,102.23,2022-09-02 11:26:03,suspendisse,Morena Jessen
7,280.16,2022-04-29 16:12:24,fusce,Darlleen Gibb
8,212.26,2022-08-14 01:24:20,eleifend,Christen Heppenspall
9,309.34,2022-09-30 20:51:08,sapien,Kittie Kneaphsey
10,186.22,2022-08-29 19:01:10,libero,Dag Gooderridge
11,74.52,2022-10-05 21:01:28,duis,Mordecai Sonley
12,431.23,2022-12-22 20:20:34,non,Dasie Cominello
13,338.73,2023-03-10 01:08:19,ante,Kiah Houlton
14,279.71,2023-01-10 23:10:38,cubilia,Nicolle Coghill
15,105.37,2022-04-24 07:08:02,ante,Ursa Nassy
16,420.49,2022-07-03 02:19:31,leo,Purcell Gabriel
17,468.87,2022-07-02 08:24:23,molestie,Lucita Weavers
18,432.05,2023-01-06 15:11:00,bibendum,Kermy Elldred
19,266.78,2022-06-03 08:20:50,non,Deck Gorioli
20,373.63,2022-07-09 14:14:53,porta,Hally Khan
