startdate,employeeID,biweeklyhours,hourlyRate,Ename,supID
2023-03-11 06:45:43,1,28,16,ncool0@technorati.com,8
2022-04-25 16:43:29,2,10,29,mcabena1@washington.edu,97
2022-12-15 00:47:24,3,12,59,wgotobed2@clickbank.net,70
2022-08-16 00:13:23,4,31,55,wmuddicliffe3@jigsy.com,96
2023-01-28 09:23:08,5,17,42,cwetton4@acquirethisname.com,44
2022-05-10 20:23:55,6,21,30,tbowen5@ycombinator.com,61
2022-09-15 14:25:02,7,40,97,gcoda6@drupal.org,2
2022-12-04 11:58:08,8,40,78,cstruis7@npr.org,17
2022-06-29 22:35:01,9,30,20,flanbertoni8@topsy.com,3
2022-07-16 11:29:08,10,32,30,jdennant9@economist.com,32
2022-07-11 02:14:12,11,17,57,csoppera@va.gov,31
2022-09-20 12:34:32,12,36,88,rwylltb@elegantthemes.com,62
2022-09-18 23:26:27,13,10,62,tasalsc@spotify.com,77
2022-07-30 10:38:07,14,39,58,ncartind@jiathis.com,99
2023-02-19 15:07:41,15,19,44,jmaidene@wikia.com,7
2022-09-18 00:29:52,16,37,39,smackrof@fema.gov,57
2022-12-29 14:06:43,17,34,58,lmcgonagleg@rediff.com,56
2023-03-20 05:04:01,18,26,52,lcaultonh@vkontakte.ru,13
2022-11-04 00:17:50,19,21,54,bsherrini@rambler.ru,49
2022-08-26 04:46:55,20,17,61,kpessoltj@mashable.com,84
2022-07-25 08:33:19,21,37,40,scarlonk@mashable.com,17
2022-12-25 02:08:11,22,38,34,ksanchisl@pbs.org,81
2023-04-15 16:49:56,23,18,48,ghertwellm@odnoklassniki.ru,25
2022-12-08 06:17:25,24,18,34,lgreetlandn@economist.com,81
2022-10-28 00:01:13,25,26,97,lgifkinso@deviantart.com,24
2022-09-13 01:44:44,26,34,90,calstonp@house.gov,10
2022-12-23 01:57:06,27,12,21,amatschekq@sciencedaily.com,70
2023-01-19 08:37:46,28,31,97,kriglesfordr@unesco.org,95
2022-08-01 05:58:39,29,24,22,sslotts@phoca.cz,8
2022-10-01 00:25:17,30,25,88,kburvillt@merriam-webster.com,31
2022-10-16 10:25:10,31,38,34,bsallarieu@theatlantic.com,35
2023-04-06 23:07:29,32,37,27,eyarmouthv@fastcompany.com,52
2023-03-26 11:30:07,33,32,30,sredmondw@redcross.org,63
2022-05-03 19:01:52,34,33,75,spimmx@forbes.com,22
2022-12-26 01:06:45,35,24,89,rdoigy@netlog.com,23
2023-03-08 23:25:32,36,30,48,nlhommeez@phoca.cz,29
2023-02-20 22:20:18,37,34,20,thymus10@istockphoto.com,25
2022-12-02 03:07:24,38,37,78,waddicott11@reference.com,13
2022-10-04 01:39:52,39,21,27,vglencorse12@t-online.de,14
2022-06-18 17:37:37,40,19,99,mhullin13@hexun.com,91
2022-08-28 15:58:35,41,11,28,pwolfers14@slashdot.org,12
2023-03-22 03:55:09,42,10,24,fgreenwell15@usgs.gov,39
2022-08-12 20:11:02,43,30,28,pblakesley16@topsy.com,35
2023-02-28 23:13:01,44,18,15,gnewtown17@pinterest.com,29
2022-08-13 21:04:09,45,18,18,hculcheth18@rambler.ru,39
2022-07-27 02:32:18,46,24,69,rsarjent19@answers.com,10
